epoch,accuracy,loss,val_accuracy,val_loss
0,0.6779623031616211,1.0749794244766235,0.796027421951294,0.5989081859588623
1,0.8007534146308899,0.5912197232246399,0.8206849098205566,0.5061135292053223
2,0.8229794502258301,0.5146539807319641,0.8453424572944641,0.45264115929603577
3,0.8375342488288879,0.472273588180542,0.8442465662956238,0.4548758864402771
4,0.847619891166687,0.44343453645706177,0.8542465567588806,0.4354582726955414
5,0.8544178009033203,0.42240655422210693,0.8600000143051147,0.40357324481010437
6,0.8590410947799683,0.4067034125328064,0.8700000047683716,0.37196382880210876
7,0.8627397418022156,0.39544227719306946,0.8664383292198181,0.3813278377056122
8,0.8678767085075378,0.38104280829429626,0.8710958957672119,0.38951271772384644
9,0.869469165802002,0.3783642649650574,0.8645205497741699,0.39497604966163635
10,0.8727054595947266,0.3695109784603119,0.8798630237579346,0.3615795373916626
11,0.8753767013549805,0.3591015934944153,0.8793150782585144,0.36032813787460327
12,0.8766952157020569,0.3567343056201935,0.8771232962608337,0.3737916350364685
13,0.8805479407310486,0.34776243567466736,0.8823287487030029,0.3605971038341522
14,0.8781849145889282,0.3486805260181427,0.8828766942024231,0.3585503399372101
15,0.8817808032035828,0.34276360273361206,0.8897260427474976,0.33073899149894714
16,0.8842636942863464,0.33841219544410706,0.8780822157859802,0.38827937841415405
17,0.8826712369918823,0.33884477615356445,0.8887671232223511,0.33663949370384216
18,0.8852055072784424,0.33226609230041504,0.880821943283081,0.34619078040122986
19,0.8859931230545044,0.3293881118297577,0.8824657797813416,0.3504902124404907
20,0.8873630166053772,0.32839328050613403,0.8913698792457581,0.3258863687515259
21,0.8888527154922485,0.32180866599082947,0.8932876586914062,0.3231196701526642
22,0.8872431516647339,0.32460176944732666,0.8919178247451782,0.34049463272094727
23,0.8906164169311523,0.3173753321170807,0.8906849026679993,0.3387095332145691
24,0.8915753364562988,0.31633928418159485,0.8987671136856079,0.3247605860233307
25,0.8918150663375854,0.314837783575058,0.8957534432411194,0.3212152123451233
26,0.893390417098999,0.31263625621795654,0.8976712226867676,0.3190563917160034
27,0.8940582275390625,0.30863070487976074,0.8941096067428589,0.3398973047733307
28,0.8913185000419617,0.318668007850647,0.8941096067428589,0.3338192403316498
29,0.8951883316040039,0.30753758549690247,0.8960273861885071,0.3169446587562561
