epoch,accuracy,loss,val_accuracy,val_loss
0,0.9168437719345093,0.24121028184890747,0.9279989004135132,0.2046235352754593
1,0.935545802116394,0.18493790924549103,0.935876190662384,0.18373849987983704
2,0.9426597356796265,0.16241587698459625,0.9436152577400208,0.1621951311826706
3,0.9474766850471497,0.14864866435527802,0.9455500245094299,0.15332722663879395
4,0.9504765272140503,0.13897398114204407,0.950525164604187,0.1444685161113739
5,0.9557048678398132,0.1243574321269989,0.9539800882339478,0.1306275725364685
6,0.9594247341156006,0.11504224687814713,0.9521835446357727,0.1360030472278595
7,0.9611731767654419,0.10960850864648819,0.9570204615592957,0.12321141362190247
8,0.9635045528411865,0.10199210047721863,0.959093451499939,0.12091516703367233
9,0.9662644267082214,0.09494481980800629,0.9600608348846436,0.11424852907657623
10,0.9677214622497559,0.08982475101947784,0.960889995098114,0.11244362592697144
11,0.9704470634460449,0.08343517780303955,0.9622719883918762,0.10502509772777557
12,0.972195565700531,0.07935521751642227,0.9640685319900513,0.10063453763723373
13,0.9737897515296936,0.07478801906108856,0.9648977518081665,0.09902500361204147
14,0.9747806787490845,0.07213012129068375,0.9653123021125793,0.10234785079956055
15,0.9766696095466614,0.06729509681463242,0.9687672853469849,0.09213414043188095
16,0.9775438904762268,0.06411577016115189,0.9665561318397522,0.09100953489542007
17,0.9776467084884644,0.06335959583520889,0.9679380655288696,0.09098880738019943
18,0.978743851184845,0.059298157691955566,0.9705638289451599,0.0890515148639679
19,0.9804237484931946,0.056259635835886,0.9677999019622803,0.09207385033369064
20,0.9821722507476807,0.05204576626420021,0.9676616787910461,0.09228891879320145
21,0.9815551042556763,0.05178330838680267,0.9704256653785706,0.08617602288722992
22,0.9828922152519226,0.05003740265965462,0.9720840454101562,0.08424251526594162
23,0.9836807250976562,0.04765709117054939,0.9715312123298645,0.08670719712972641
24,0.9835779070854187,0.04724465683102608,0.9752625823020935,0.07662138342857361
25,0.9840235710144043,0.045796122401952744,0.9711166620254517,0.08123631775379181
26,0.9847778677940369,0.04298752546310425,0.9737424254417419,0.07806800305843353
27,0.9858235120773315,0.040696028620004654,0.9762299656867981,0.07468230277299881
28,0.9859606623649597,0.040738437324762344,0.9726368188858032,0.08121784776449203
29,0.9868177175521851,0.03915517404675484,0.9771973490715027,0.07516879588365555
