epoch,accuracy,loss,val_accuracy,val_loss
0,0.9047431349754333,0.2742898762226105,0.9073972702026367,0.2958182692527771
1,0.9101027250289917,0.25560012459754944,0.9080821871757507,0.2875164747238159
2,0.9114383459091187,0.2526140511035919,0.9093150496482849,0.28367072343826294
3,0.913510262966156,0.24855168163776398,0.9106849431991577,0.2798849642276764
4,0.9138698577880859,0.24721263349056244,0.9121918082237244,0.27802711725234985
5,0.9137842655181885,0.24539637565612793,0.9121918082237244,0.27655670046806335
6,0.9147602915763855,0.24323511123657227,0.9120547771453857,0.2756844162940979
7,0.9168664216995239,0.23735873401165009,0.9124657511711121,0.2752015292644501
8,0.916404128074646,0.23984023928642273,0.911095917224884,0.27373194694519043
9,0.9153082370758057,0.23963356018066406,0.911095917224884,0.2722548842430115
10,0.9153253436088562,0.2406378984451294,0.9120547771453857,0.27090734243392944
