epoch,accuracy,loss,val_accuracy,val_loss
0,0.7169843912124634,0.9446305632591248,0.820586621761322,0.559166669845581
1,0.8262993693351746,0.5120835304260254,0.851288378238678,0.43464788794517517
2,0.8468355536460876,0.4407549500465393,0.8493695259094238,0.4325631856918335
3,0.8618177175521851,0.3936307430267334,0.8564966917037964,0.41524291038513184
4,0.8691545724868774,0.37006130814552307,0.8756853342056274,0.3584657609462738
5,0.876868486404419,0.3467060625553131,0.8817160129547119,0.3381085991859436
6,0.880485475063324,0.3399048149585724,0.8770559430122375,0.3622867166996002
7,0.8862794637680054,0.3220793604850769,0.8763706088066101,0.35605376958847046
8,0.8926220536231995,0.30414390563964844,0.8888431787490845,0.3098403513431549
9,0.8928620219230652,0.3021712303161621,0.8962445259094238,0.2944461405277252
10,0.8970789909362793,0.28815600275993347,0.8880208134651184,0.3284086287021637
11,0.8988960385322571,0.2817714214324951,0.8961074352264404,0.29788389801979065
12,0.9013645052909851,0.2713412046432495,0.8993969559669495,0.29360881447792053
13,0.9040729403495789,0.2656663954257965,0.9051535129547119,0.27885133028030396
14,0.9053928852081299,0.263436883687973,0.9037829041481018,0.2794535756111145
15,0.9085984826087952,0.2582893371582031,0.9066612124443054,0.2782408595085144
16,0.908461332321167,0.2562549412250519,0.9026864171028137,0.2865931987762451
17,0.9108955264091492,0.24897581338882446,0.9118695259094238,0.25849419832229614
18,0.9100898504257202,0.2484702318906784,0.9024122953414917,0.2911423146724701
19,0.9134668111801147,0.2398136705160141,0.905701756477356,0.2743799388408661
20,0.9135182499885559,0.23810674250125885,0.9028234481811523,0.2888769507408142
21,0.9160038232803345,0.23469090461730957,0.9070723652839661,0.27543511986732483
22,0.91773521900177,0.23295395076274872,0.9066612124443054,0.27649572491645813
