loss,accuracy,val_loss,val_accuracy,lr
0.6592137813568115,0.7992907166481018,0.3403303325176239,0.8848684430122375,1e-05
0.3823510706424713,0.8709544539451599,0.2685548663139343,0.9054276347160339,1e-05
0.3078885078430176,0.8966332674026489,0.23356325924396515,0.9165295958518982,1e-05
0.27037331461906433,0.9073813557624817,0.21014371514320374,0.9233826994895935,1e-05
0.2493487447500229,0.914118230342865,0.19171075522899628,0.9317434430122375,1e-05
0.22369466722011566,0.9216607213020325,0.18085768818855286,0.9365405440330505,1e-05
0.21460609138011932,0.9250891208648682,0.17022672295570374,0.9391447305679321,1e-05
0.19865846633911133,0.929460346698761,0.16347040235996246,0.9416118264198303,1e-05
0.18505078554153442,0.9342944025993347,0.15877456963062286,0.9412006735801697,1e-05
0.17927731573581696,0.9353401064872742,0.1476752609014511,0.9470943212509155,1e-05
0.17516672611236572,0.9374485611915588,0.1454555094242096,0.9462719559669495,1e-05
0.16705211997032166,0.9401913285255432,0.14281749725341797,0.9472313523292542,1e-05
0.16158539056777954,0.9423169493675232,0.13712209463119507,0.9480537176132202,1e-05
0.1560942828655243,0.944305419921875,0.13527360558509827,0.9494243264198303,1e-05
0.15049335360527039,0.9474766850471497,0.13439375162124634,0.9509320259094238,1e-05
0.1455937922000885,0.9482995271682739,0.12751689553260803,0.9521655440330505,1e-05
0.14339496195316315,0.9472880959510803,0.12262070924043655,0.9551809430122375,1e-05
0.1413038820028305,0.9491909146308899,0.1251968890428543,0.952850878238678,1e-05
0.13482271134853363,0.9516764879226685,0.12244472652673721,0.9551809430122375,1e-05
0.12851671874523163,0.9546249508857727,0.1173214390873909,0.9560033082962036,1e-05
0.13187851011753082,0.9519678950309753,0.11558468639850616,0.9566885828971863,1e-05
0.12507106363773346,0.9550020694732666,0.1130317747592926,0.9601151347160339,1e-05
0.12285032123327255,0.9546934962272644,0.1145254522562027,0.9586074352264404,1e-05
0.11976571381092072,0.9568876624107361,0.1120542660355568,0.9586074352264404,1e-05
0.11940125375986099,0.9563562870025635,0.10827960819005966,0.960389256477356,1e-05
0.11509113013744354,0.9575390815734863,0.1073470264673233,0.960663378238678,1e-05
0.11586425453424454,0.9580876231193542,0.10570081323385239,0.961211621761322,1e-05
0.11272278428077698,0.95939040184021,0.1089443489909172,0.9613487124443054,1e-05
0.11236310005187988,0.9594932794570923,0.10368365049362183,0.9621710777282715,1e-05
0.10772624611854553,0.9614132046699524,0.10341369360685349,0.9631304740905762,1e-05
