loss,accuracy,val_loss,val_accuracy
0.9739835262298584,0.7213712930679321,0.5665274262428284,0.805235743522644
0.4846177399158478,0.839155912399292,0.38610631227493286,0.8703703880310059
0.39931514859199524,0.8635662198066711,0.35939082503318787,0.8753454685211182
0.3542458713054657,0.8774341940879822,0.31585896015167236,0.888059675693512
0.32250693440437317,0.8873080015182495,0.27825433015823364,0.9025704860687256
0.30088019371032715,0.89476478099823,0.28468969464302063,0.8989773392677307
0.27849331498146057,0.9009531140327454,0.2677684426307678,0.903399646282196
0.2669074833393097,0.906078577041626,0.2526071071624756,0.9094803929328918
0.25579598546028137,0.9090784192085266,0.22712112963199615,0.9184632301330566
0.24419289827346802,0.9122840166091919,0.23963215947151184,0.9098949432373047
0.23193058371543884,0.9175294637680054,0.20200596749782562,0.9242675304412842
0.23031124472618103,0.9175980687141418,0.21016225218772888,0.925511360168457
0.21793806552886963,0.9214892983436584,0.23058415949344635,0.9179104566574097
0.21355579793453217,0.9232035279273987,0.19749575853347778,0.9295190572738647
0.21040360629558563,0.9239234924316406,0.20511095225811005,0.9250967502593994
0.20223814249038696,0.9273004531860352,0.19509078562259674,0.9317302107810974
0.19790560007095337,0.928483247756958,0.18844617903232574,0.9307628273963928
0.19292710721492767,0.930351734161377,0.20619474351406097,0.9235765337944031
0.19068045914173126,0.9300945997238159,0.20597270131111145,0.9273079037666321
0.1871226280927658,0.9319974184036255,0.18466247618198395,0.93034827709198
0.18004557490348816,0.9350486993789673,0.18034355342388153,0.9365671873092651
0.17873765528202057,0.9357343912124634,0.18552707135677338,0.9372581243515015
0.18035633862018585,0.9345001578330994,0.16777554154396057,0.9393311142921448
0.1735163927078247,0.9372943043708801,0.15742634236812592,0.9447208642959595
0.16906219720840454,0.938991367816925,0.16639861464500427,0.9441680312156677
0.16772009432315826,0.9392827749252319,0.19196365773677826,0.9344941973686218
0.16588462889194489,0.9399341940879822,0.1900041550397873,0.9340795874595642
0.163333460688591,0.9413226842880249,0.1676047146320343,0.9400221109390259
0.15975309908390045,0.9416483640670776,0.1584831029176712,0.9437534809112549
